Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
32,Hector,21,5,East,6,West,"Land very good & Level Bearing Timber as last Mentioned [Beach, Maple, Elm, Basswood & white Ash]",,,,,,,,
,Hector,21,5,West,4,East,See Lot 4 East,,,,,,,,
,,,,,,,,,,,,,,,
53,Hector,21,6,North,Townline,South,,West,NE,Beginning at the last mentioned Corner [Corner of Lots No. 6 & 7 -  Vide Page 33],0,,,,
53,Hector,21,6,North,Townline,South,,West,,,77,57,The Northeast and Northwest Corner of Lots No. 5 & 6 Vide page 32,NW,Rebecca
53,Hector,21,6,North,Townline,South,Land level and good Covered with Beach Maple Ash Basswood Elm & White pine,,,,,,,,
55,Hector,21,6,South,15,North,,West,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 5, 6, 14, 15 Vide page 32]",0,,,,
55,Hector,21,6,South,15,North,,West,,,77,57,"The Corner of Lots No. 6, 7, 15, 16 Vide Page 33",SE,Rebecca
55,Hector,21,6,South,15,North,Good Land Bearing Beach Maple Basswood Elm & White ash.,,,,,,,,
33,Hector,21,6,East,7,West,,South,NE,Beginning at a Beach tree Standing in the North Bounds of the Town and Marked and Numbered for the Northeast & Northwest Corner of Lots No. 6 & 7,0,,,,
33,Hector,21,6,East,7,West,,South,,,54,,A fine Brook running Easterly - fine Land level Bearing Maple Basswood & Ash etc.,,Judy
33,Hector,21,6,East,7,West,,South,,,80,,"Intersected a Line Marked and Numbered a Maple Tree for the Corner of Lots No. 6, 7, 15 & 16.",SE,Judy
33,Hector,21,6,East,7,West,Land & Timber pretty much the same,,,,,,,,
,Hector,21,6,West,5,East,See Lot 5 East,,,,,,,SE,Rebecca
,,,,,,,,,,,,,,,
52,Hector,21,7,North,Townline,South,,West,NE,Beginning at the Corner last mentioned [Corner of  Lots 7 & 8 Vide Page 39],0,,,,Judy
52,Hector,21,7,North,Townline,South,,West,,,13,,Crossed a small Brook Bear:  Southerly,,Rebecca
52,Hector,21,7,North,Townline,South,,West,,,75,,A Run of Water Southeasterly,,Rebecca
